# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20180327,  100,   56,    7,    3,   98,   13,   10,   36
  260,20180328,  110,   59,   28,   19,   78,    9,    0,  108
  260,20180329,  110,   65,   36,    6,  107,   17,   58,   11
  260,20180330,  120,   90,   52,    2,  135,   13,   56,   46
  260,20180331,   90,   72,   25,    4,  124,   16,   29,   47
  260,20180401,   70,   48,    6,   24,   77,   14,    4,   16
  260,20180402,  110,   77,    4,    1,  121,   17,   10,   56
  260,20180403,  190,  127,   91,    5,  170,   14,   39,   18
  260,20180404,  160,  103,   78,    5,  147,   14,   22,   12
  260,20180405,  150,   59,    1,   23,   99,    1,   49,   15
  260,20180406,  140,   88,    0,    5,  147,   16,  119,    0
  260,20180407,  100,  139,   86,    4,  216,   17,  100,    0
  260,20180408,   60,  152,   77,    5,  234,   15,   96,    0
  260,20180409,   80,  126,   92,    6,  175,   13,   23,    0
  260,20180410,   90,  155,   95,    2,  200,   15,   32,    0
  260,20180411,   80,  127,   85,    3,  175,   13,   22,    7
  260,20180412,   90,  104,   65,   24,  146,   15,   18,    7
  260,20180413,   70,  100,   38,    4,  144,   13,   18,    0
  260,20180414,   60,  115,   69,    4,  161,   16,   47,   16
  260,20180415,   60,  127,   94,    2,  172,   13,   16,   51
  260,20180416,  100,  114,   51,   24,  161,   15,  105,    2
  260,20180417,  100,  128,   47,    5,  203,   15,  114,    0
  260,20180418,   60,  163,   69,    2,  235,   15,  128,    0
  260,20180419,  100,  192,   94,    5,  274,   15,  131,    0
  260,20180420,   70,  183,  100,    5,  265,   13,  131,    0
  260,20180421,   60,  155,   79,    5,  221,   14,  130,    0
  260,20180422,  110,  179,   99,    4,  266,   15,   93,    0
  260,20180423,  110,  131,   97,   24,  166,   12,   94,    0
  260,20180424,  120,  129,   95,    1,  155,   15,    5,    3
  260,20180425,  160,  115,   85,   24,  145,   16,   52,   20
  260,20180426,  140,  103,   77,    1,  137,   14,   94,   10
  260,20180427,   80,  103,   40,    4,  151,   15,   31,    2
  260,20180428,  110,  117,   49,   24,  145,   13,   16,    2
  260,20180429,  130,   92,   32,    4,  122,   17,    4,   70
  260,20180430,  170,   95,   58,   21,  132,   14,    9,  131
  260,20180501,  170,   79,   26,   24,  128,   14,   81,   83
  260,20180502,  130,  109,   18,    2,  169,   16,  112,   14
  260,20180503,   80,  104,   41,   24,  156,   15,  138,    0
  260,20180504,   80,  119,   23,    5,  185,   14,  138,    0
  260,20180505,   90,  147,   58,    3,  220,   16,  140,    0
  260,20180506,   80,  172,   62,    5,  258,   16,  140,    0
  260,20180507,   80,  180,   85,    4,  253,   15,  142,    0
  260,20180508,   90,  191,   97,    5,  266,   14,  142,    0
  260,20180509,   70,  179,  100,    4,  254,   15,  133,    0
  260,20180510,  110,  121,   53,   24,  167,   16,   59,   21
  260,20180511,   70,  123,   25,    4,  187,   16,  126,    0
  260,20180512,   80,  170,   72,    5,  233,   16,   68,    0
  260,20180513,   90,  131,  112,   24,  163,    1,    0,   46
  260,20180514,   90,  187,  112,    1,  258,   15,  102,    0
  260,20180515,  100,  192,  126,    4,  246,   14,  143,    0
  260,20180516,  140,  153,  110,   24,  207,   12,   47,    3
